user_id,role_id,scope_type,scope_id,granted_at
U001,R001,study,STUDY001,2026-04-01T10:00:00Z
U002,R002,study,STUDY001,2026-04-02T11:00:00Z
U003,R003,study,STUDY002,2026-04-03T12:00:00Z
U004,R004,study,STUDY001,2026-04-04T13:00:00Z
U005,R005,study,STUDY003,2026-04-05T14:00:00Z
U006,R006,study,STUDY001,2026-04-06T15:00:00Z
U007,R001,study,STUDY004,2026-04-07T16:00:00Z
U008,R002,study,STUDY003,2026-04-08T17:00:00Z
U009,R007,study,STUDY001,2026-04-09T18:00:00Z
U010,R001,study,STUDY002,2026-04-10T19:00:00Z
